names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,group,comparison,significant
RPS2,33.60275,0.7157066,1.5293198104686785e-247,9.667850068512828e-244,0.9950520833333333,Cancer,Cancer_vs_Normal,True
CCL18,31.947788,2.866547,5.798531626451787e-224,2.7492288073914534e-220,0.7166666666666667,Cancer,Cancer_vs_Normal,True
RGS1,29.711266,2.072343,5.492643505090522e-194,1.7361330679006957e-190,0.7953125,Cancer,Cancer_vs_Normal,True
HLA-A,28.01726,0.922218,1.0013200764725253e-172,2.1100039167001602e-169,0.9802083333333333,Cancer,Cancer_vs_Normal,True
CXCR4,26.07716,1.8745626,6.621396341681812e-150,9.659598586153505e-147,0.7934895833333333,Cancer,Cancer_vs_Normal,True
TNFAIP3,23.291962,1.5710971,5.34796355072716e-120,3.900928028443868e-117,0.69765625,Cancer,Cancer_vs_Normal,True
B2M,22.73993,0.5960291,1.805164783143077e-114,1.2226767897253018e-111,1.0,Cancer,Cancer_vs_Normal,True
CORO1A,22.543056,1.4827017,1.570937238275909e-112,9.930941574634205e-110,0.6973958333333333,Cancer,Cancer_vs_Normal,True
ARL4C,22.290531,1.6493456,4.5653879314947666e-110,2.623714609721159e-107,0.575,Cancer,Cancer_vs_Normal,True
HLA-B,21.684702,0.59900063,2.8610218064529034e-104,1.5502651016965518e-101,0.97578125,Cancer,Cancer_vs_Normal,True
TRAC,21.56211,2.149259,4.075835575759228e-103,2.0341637287966776e-100,0.49557291666666664,Cancer,Cancer_vs_Normal,True
GPR183,20.584085,1.6874907,3.8116320984885526e-94,1.60639117217412e-91,0.5018229166666667,Cancer,Cancer_vs_Normal,True
HLA-E,20.543795,0.6343269,8.745438953110357e-94,3.605592385776911e-91,0.9307291666666667,Cancer,Cancer_vs_Normal,True
APOE,20.253677,1.8110294,3.2969008951358626e-91,1.2505145095250326e-88,0.8002604166666667,Cancer,Cancer_vs_Normal,True
IL32,20.190838,1.696136,1.178480295513165e-90,4.38232917733474e-88,0.6135416666666667,Cancer,Cancer_vs_Normal,True
CD3D,20.139618,2.1517253,3.3188107200449293e-90,1.187570666144379e-87,0.4861979166666667,Cancer,Cancer_vs_Normal,True
CD48,19.888418,1.2373289,5.126684523694976e-88,1.7057468770504424e-85,0.6546875,Cancer,Cancer_vs_Normal,True
CD2,18.996044,1.8623297,1.8389497300685797e-80,5.365489481653941e-78,0.4674479166666667,Cancer,Cancer_vs_Normal,True
PLTP,18.218863,3.5784492,3.6567639184117256e-74,9.006562040607581e-72,0.3255208333333333,Cancer,Cancer_vs_Normal,True
CCL4,17.30539,1.3291869,4.283788519331862e-67,9.446749915014972e-65,0.5903645833333333,Cancer,Cancer_vs_Normal,True
SRGN,17.275003,0.82043016,7.25682852221761e-67,1.5639290104983744e-64,0.93046875,Cancer,Cancer_vs_Normal,True
BTG1,17.13401,0.8302181,8.275034161466832e-66,1.7245716799144887e-63,0.9341145833333333,Cancer,Cancer_vs_Normal,True
PLA2G7,16.981096,4.178752,1.1334903713589597e-64,2.286877116257731e-62,0.27317708333333335,Cancer,Cancer_vs_Normal,True
DUSP2,16.945606,1.27902,2.0738804413147544e-64,4.0969940176598245e-62,0.5434895833333333,Cancer,Cancer_vs_Normal,True
ZNF331,16.759647,1.2933135,4.8147826214197434e-63,9.040826971804498e-61,0.5604166666666667,Cancer,Cancer_vs_Normal,True
PNRC1,16.478298,0.76207453,5.254338246422848e-61,9.400804230510314e-59,0.8213541666666667,Cancer,Cancer_vs_Normal,True
MARCKS,16.421694,2.1875052,1.3377936574632157e-60,2.3711454872700827e-58,0.3494791666666667,Cancer,Cancer_vs_Normal,True
CD3E,16.203135,1.6290367,4.7920539314508245e-59,8.114402036604007e-57,0.41484375,Cancer,Cancer_vs_Normal,True
GAPDH,16.196852,0.51140827,5.307553761137682e-59,8.907766113272225e-57,0.9591145833333333,Cancer,Cancer_vs_Normal,True
ABCA1,16.101225,2.550425,2.5010195358509903e-58,4.0889513359839685e-56,0.3184895833333333,Cancer,Cancer_vs_Normal,True
