names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,group,comparison,significant
WFDC2,25.943426,3.2967277,2.1570260458832003e-148,7.176841922837701e-146,0.44850657108721625,High_CNV,High_CNV_vs_Low_CNV,True
KRT19,24.638023,3.740497,4.946023528872092e-134,1.3400190889294175e-131,0.36678614097968937,High_CNV,High_CNV_vs_Low_CNV,True
AGR2,23.413963,3.5112786,3.080231083118054e-121,6.714549711647575e-119,0.36057347670250894,High_CNV,High_CNV_vs_Low_CNV,True
KRT7,23.153542,3.7077937,1.3391259416556187e-118,2.730808976720302e-116,0.34599761051373956,High_CNV,High_CNV_vs_Low_CNV,True
ZFP36L1,23.086597,1.3837265,6.313302273398538e-118,1.2737423150532263e-115,0.6236559139784946,High_CNV,High_CNV_vs_Low_CNV,True
PERP,22.728273,2.7384486,2.3541365948064982e-114,4.292903896202427e-112,0.3651135005973716,High_CNV,High_CNV_vs_Low_CNV,True
CLDN4,22.467094,3.732684,8.71072188812574e-112,1.5439143982084546e-109,0.3328554360812425,High_CNV,High_CNV_vs_Low_CNV,True
KRT8,22.45111,3.3330874,1.248140915345515e-111,2.1917585610673786e-109,0.34695340501792116,High_CNV,High_CNV_vs_Low_CNV,True
KRT18,22.338694,3.2849705,1.555280174954886e-110,2.7060448181669186e-108,0.35627240143369177,High_CNV,High_CNV_vs_Low_CNV,True
ELF3,22.326548,3.7269955,2.0409639259721602e-110,3.518807350551093e-108,0.33070489844683393,High_CNV,High_CNV_vs_Low_CNV,True
FXYD3,22.252026,3.5669053,1.0781028436652788e-109,1.8255553955457154e-107,0.3316606929510155,High_CNV,High_CNV_vs_Low_CNV,True
PTMA,22.145332,0.37752002,1.1570406677096762e-108,1.9248487950100008e-106,0.9885304659498207,High_CNV,High_CNV_vs_Low_CNV,False
TACSTD2,21.81746,3.194598,1.584178341929702e-105,2.5899950219566207e-103,0.33667861409796895,High_CNV,High_CNV_vs_Low_CNV,True
AGR3,21.692278,3.6697774,2.426686154302081e-104,3.8034795798627244e-102,0.31971326164874553,High_CNV,High_CNV_vs_Low_CNV,True
SOX4,21.577738,2.8393786,2.907471049526596e-103,4.519687578219008e-101,0.3909199522102748,High_CNV,High_CNV_vs_Low_CNV,True
CRIP2,21.571827,2.7110984,3.3038196390203437e-103,5.0940601182130744e-101,0.35077658303464754,High_CNV,High_CNV_vs_Low_CNV,True
CLDN3,21.277,4.0893316,1.8543014308138031e-100,2.7261105918902152e-98,0.3017921146953405,High_CNV,High_CNV_vs_Low_CNV,True
MUC1,21.2117,3.2693267,7.447163488284488e-100,1.0864265811947333e-97,0.3254480286738351,High_CNV,High_CNV_vs_Low_CNV,True
SMIM22,20.82549,4.1272054,2.543110813984311e-96,3.572599747200923e-94,0.2905615292712067,High_CNV,High_CNV_vs_Low_CNV,True
CD24,20.801214,3.3556292,4.219902788225606e-96,5.841639151729826e-94,0.31756272401433694,High_CNV,High_CNV_vs_Low_CNV,True
EMP2,20.630955,2.6555667,1.447629026981657e-94,1.9751283810580664e-92,0.3316606929510155,High_CNV,High_CNV_vs_Low_CNV,True
CEACAM6,20.564611,3.747695,5.695384639796845e-94,7.60654716153149e-92,0.3053763440860215,High_CNV,High_CNV_vs_Low_CNV,True
COL1A1,20.50045,4.053207,2.133127357091395e-93,2.809358356058216e-91,0.2919952210274791,High_CNV,High_CNV_vs_Low_CNV,True
RPL37,20.487986,0.36934447,2.755571971246768e-93,3.6040980989444794e-91,0.982078853046595,High_CNV,High_CNV_vs_Low_CNV,False
TM4SF1,20.468979,2.5916266,4.0705917971056455e-93,5.287587221377299e-91,0.33524492234169656,High_CNV,High_CNV_vs_Low_CNV,True
EPCAM,20.407791,4.041947,1.4258597772220191e-92,1.8395531071439177e-90,0.2843488649940263,High_CNV,High_CNV_vs_Low_CNV,True
DSTN,20.068365,1.1758499,1.395190796548763e-89,1.685337162837407e-87,0.5870967741935483,High_CNV,High_CNV_vs_Low_CNV,True
TMC5,19.911057,4.566551,3.2635858259954593e-88,3.8926984396228864e-86,0.27001194743130225,High_CNV,High_CNV_vs_Low_CNV,True
C19orf33,19.865957,3.461163,8.020945384816888e-88,9.44827510702188e-86,0.2974910394265233,High_CNV,High_CNV_vs_Low_CNV,True
MDK,19.738894,2.7449675,9.994177657686064e-87,1.148724722897068e-84,0.3818399044205496,High_CNV,High_CNV_vs_Low_CNV,True
S100A16,19.68316,2.9372373,3.006528690968823e-86,3.4143003966601037e-84,0.3101553166069295,High_CNV,High_CNV_vs_Low_CNV,True
CXCL17,19.304379,3.8192432,4.934627866706472e-83,5.347726713833615e-81,0.2750298685782557,High_CNV,High_CNV_vs_Low_CNV,True
PLAT,19.297037,3.5887337,5.687861998536931e-83,6.09436738995779e-81,0.2836320191158901,High_CNV,High_CNV_vs_Low_CNV,True
OCIAD2,19.291048,1.6124383,6.386451109033088e-83,6.804440746225423e-81,0.44707287933094386,High_CNV,High_CNV_vs_Low_CNV,True
TSPAN13,19.044064,3.0650575,7.358988489333752e-81,7.626405284164732e-79,0.28864994026284346,High_CNV,High_CNV_vs_Low_CNV,True
MAL2,18.806778,4.2580023,6.645561116485568e-79,6.812598193197232e-77,0.25615292712066906,High_CNV,High_CNV_vs_Low_CNV,True
RPL24,18.488333,0.31714088,2.5636285379720108e-76,2.519130322416538e-74,0.97610513739546,High_CNV,High_CNV_vs_Low_CNV,False
RPL36,18.420235,0.31358382,9.040934825083983e-76,8.74802698763866e-74,0.9679808841099163,High_CNV,High_CNV_vs_Low_CNV,False
ENAH,18.380623,4.2916794,1.8780072439782554e-75,1.7988084536387687e-73,0.24874551971326164,High_CNV,High_CNV_vs_Low_CNV,True
LSR,18.361794,3.464134,2.656883055886644e-75,2.5193893577445102e-73,0.2647550776583035,High_CNV,High_CNV_vs_Low_CNV,True
SDC1,18.356638,4.0906653,2.9214240074764764e-75,2.756458024964745e-73,0.2525686977299881,High_CNV,High_CNV_vs_Low_CNV,True
