gene	chr	start	end
LINC00115	1	586945	827989
FAM87B	1	817363	819842
FAM41C	1	868052	877032
SAMD11	1	923923	944575
NOC2L	1	943527	960714
KLHL17	1	960576	965719
PLEKHN1	1	966437	975865
PERM1	1	975194	982134
HES4	1	998962	1000172
ISG15	1	1001138	1014540
AGRN	1	1020120	1056119
RNF223	1	1070967	1074306
C1orf159	1	1081811	1116361
LINC01342	1	1137017	1144056
TTLL10-AS1	1	1173056	1179555
TTLL10	1	1173880	1197940
TNFRSF18	1	1203508	1206592
TNFRSF4	1	1211326	1214153
SDF4	1	1216887	1238870
B3GALT6	1	1232237	1235041
UBE2J2	1	1253907	1274477
SCNN1D	1	1280436	1292029
ACAP3	1	1292376	1309609
PUSL1	1	1308567	1311677
CPTP	1	1324756	1328897
TAS1R3	1	1331280	1335314
DVL1	1	1335276	1349945
MXRA8	1	1352689	1361777
AURKAIP1	1	1373729	1375521
CCNL2	1	1385711	1399339
MRPL20	1	1401908	1407306
ANKRD65	1	1415637	1421769
VWA1	1	1434861	1442882
ATAD3C	1	1449689	1470163
ATAD3B	1	1471756	1497848
ATAD3A	1	1512147	1534686
TMEM240	1	1534778	1540624
SSU72	1	1541673	1574884
MIB2	1	1615434	1630610
MMP23B	1	1631665	1635263
CDK11B	1	1635225	1659234
SLC35E2B	1	1659529	1693017
CDK11A	1	1702379	1724482
NADK	1	1751232	1780544
GNB1	1	1785285	1892292
CALML6	1	1915108	1917296
TMEM52	1	1917589	1919329
CFAP74	1	1921951	2003837
GABRD	1	2019329	2030758
PRKCZ	1	2050411	2185395
FAAP20	1	2184461	2212720
SKI	1	2227388	2310213
MORN1	1	2319208	2391707
RER1	1	2390670	2405444
PEX10	1	2403964	2413797
PLCH2	1	2425980	2505532
PANK4	1	2508534	2526612
HES5	1	2528745	2530263
TNFRSF14	1	2554244	2565382
MMEL1	1	2590639	2633016
TTC34	1	2636986	2801693
ACTRT2	1	3021467	3022903
PRDM16	1	3069168	3438621
ARHGEF16	1	3454550	3481127
MEGF6	1	3487942	3611543
TPRG1L	1	3624979	3630131
WRAP73	1	3630767	3652761
TP73	1	3652516	3736201
CCDC27	1	3746460	3771645
SMIM1	1	3772655	3776709
LRRC47	1	3778559	3796511
CEP104	1	3812086	3857723
DFFB	1	3857267	3885429
C1orf174	1	3889125	3900293
LINC01134	1	3900187	3917547
AJAP1	1	4654609	4792534
NPHP4	1	5862804	5993455
KCNAB2	1	5990927	6101193
CHD5	1	6101787	6180321
RPL22	1	6185020	6209389
RNF207	1	6205392	6221299
ICMT	1	6221193	6235972
GPR153	1	6247347	6261098
ACOT7	1	6264268	6393767
HES2	1	6412418	6424690
ESPN	1	6424776	6461367
TNFRSF25	1	6460786	6466181
PLEKHG5	1	6467122	6520074
