gene,chromosome,mean_expr,std_expr,corr_cis,pval_cis,corr_trans,pval_trans,cis_minus_trans,cnv_source,corr_with_cnv,pval,pval_adj,dosage_sensitive,dosage_compensated,strong_cis_effect
HLA-DRB1,chr6,2.2739937,1.5513607,0.7449426079131914,0.0,-0.14902287378442,4.346931185666402e-42,0.8939654816976115,chromosome-specific,0.7449426079131914,0.0,0.0,True,False,True
HLA-DPA1,chr6,1.8317088,1.469481,0.744448526373334,0.0,-0.20835518920179857,2.0760008787290382e-81,0.9528037155751325,chromosome-specific,0.744448526373334,0.0,0.0,True,False,True
HLA-DPB1,chr6,1.8966786,1.4636455,0.7403915527582233,0.0,-0.24046521784138514,1.347477214585713e-108,0.9808567705996085,chromosome-specific,0.7403915527582233,0.0,0.0,True,False,True
HLA-DRA,chr6,2.4084473,1.7347821,0.7324951744477943,0.0,-0.16220146651318357,1.231780276977876e-49,0.8946966409609779,chromosome-specific,0.7324951744477943,0.0,0.0,True,False,True
HLA-DQB1,chr6,1.2466934,1.347519,0.7130846529237582,0.0,-0.19730921988918082,4.91609783769124e-73,0.910393872812939,chromosome-specific,0.7130846529237582,0.0,0.0,True,False,True
HLA-DQA1,chr6,1.0211874,1.336389,0.7027893289752176,0.0,-0.24431011902252694,3.838090258968752e-112,0.9470994479977446,chromosome-specific,0.7027893289752176,0.0,0.0,True,False,True
HLA-DRB5,chr6,1.268756,1.3277032,0.701099164548063,0.0,-0.1178080488261854,7.865444731187824e-27,0.8189072133742483,chromosome-specific,0.701099164548063,0.0,0.0,True,False,True
HLA-DMA,chr6,0.89907235,1.051536,0.6676667421030346,0.0,-0.1857920274731078,7.988097253492273e-65,0.8534587695761424,chromosome-specific,0.6676667421030346,0.0,0.0,True,False,True
LHX9,chr1,0.03804795,0.25071672,0.6000538309358533,0.0,0.7157081085578996,0.0,-0.11565427762204628,chromosome-specific,0.6000538309358533,0.0,0.0,True,False,False
PCSK1N,chrX,0.046298616,0.26839578,0.5585396956502611,0.0,0.5585396956502611,0.0,0.0,global,0.5585396956502611,0.0,0.0,True,False,False
AIF1,chr6,0.8662591,1.233704,0.5563658382256016,0.0,-0.25988370326784976,3.742263036060617e-127,0.8162495414934514,chromosome-specific,0.5563658382256016,0.0,0.0,True,False,True
LST1,chr6,0.6957671,1.0462972,0.5285316062557165,0.0,-0.2461000196506167,8.167633132514004e-114,0.7746316259063332,chromosome-specific,0.5285316062557165,0.0,0.0,True,False,True
PIGR,chr1,0.17437522,0.63784254,0.49363986384366343,0.0,0.6379461986148376,0.0,-0.14430633477117416,chromosome-specific,0.49363986384366343,0.0,0.0,True,False,False
MAP1B,chr5,0.05825823,0.3448322,0.4931546491375243,0.0,0.6740454195932428,0.0,-0.1808907704557185,chromosome-specific,0.4931546491375243,0.0,0.0,True,False,False
LY86,chr6,0.25275198,0.51884735,0.48621792120301055,0.0,-0.1867771199786594,1.662512923728092e-65,0.67299504118167,chromosome-specific,0.48621792120301055,0.0,0.0,True,False,True
ELF3,chr1,0.10870888,0.46076444,0.4800143290524284,0.0,0.6088529797289588,0.0,-0.1288386506765304,chromosome-specific,0.4800143290524284,0.0,0.0,True,False,False
C1orf53,chr1,0.043273877,0.21576442,0.46937702189002195,0.0,0.5109034909515271,0.0,-0.041526469061505145,chromosome-specific,0.46937702189002195,0.0,0.0,True,False,False
S100A6,chr1,2.9033165,1.1176859,0.4680882123268231,0.0,0.15203198454421885,9.40346930426079e-44,0.3160562277826043,chromosome-specific,0.4680882123268231,0.0,0.0,True,False,True
MUC1,chr1,0.22170673,0.7052,0.46669406946089026,0.0,0.6091400946198448,0.0,-0.1424460251589545,chromosome-specific,0.46669406946089026,0.0,0.0,True,False,False
RAB25,chr1,0.065534666,0.30446243,0.45674737943955124,0.0,0.5946528854382953,0.0,-0.13790550599874407,chromosome-specific,0.45674737943955124,0.0,0.0,True,False,False
S100A11,chr1,2.0702426,1.3018068,0.4534392397527763,0.0,0.010585094846949014,0.3369483866716771,0.44285414490582725,chromosome-specific,0.4534392397527763,0.0,0.0,True,False,True
TREM1,chr6,0.3799574,0.747733,0.44612250447128443,0.0,-0.1398327769263162,3.237525447508838e-37,0.5859552813976007,chromosome-specific,0.44612250447128443,0.0,0.0,True,False,True
TREM2,chr6,0.2723295,0.6212017,0.43236811322417035,0.0,-0.1755289122621756,5.9847299848823085e-58,0.6078970254863459,chromosome-specific,0.43236811322417035,0.0,0.0,True,False,True
CCL4,chr17,0.9870219,1.5073208,0.41493228009750405,0.0,-0.11368572360466918,4.358295464463112e-25,0.5286180037021733,chromosome-specific,0.41493228009750405,0.0,0.0,True,False,True
S100A10,chr1,2.0665944,1.204267,0.4118009620250704,0.0,0.08244401717874374,6.817344905934753e-14,0.32935694484632666,chromosome-specific,0.4118009620250704,0.0,0.0,True,False,True
LAD1,chr1,0.044677194,0.23948178,0.410918805033187,0.0,0.4811886321369789,0.0,-0.07026982710379187,chromosome-specific,0.410918805033187,0.0,0.0,True,False,False
TAGLN2,chr1,1.4680743,1.0167047,0.3985509229817555,1.7803758488413e-311,0.2704456401326466,6.159683864273001e-138,0.12810528284910888,chromosome-specific,0.3985509229817555,1.7803758488413e-311,1.052392881220456e-308,True,False,True
IRX2,chr5,0.04803098,0.25288123,0.3914281866997997,1.4852446648654222e-299,0.5441169178734871,0.0,-0.15268873117368748,chromosome-specific,0.3914281866997997,1.4852446648654222e-299,8.476649809719864e-297,True,False,False
