gene,chromosome,mean_expr,std_expr,corr_cis,pval_cis,corr_trans,pval_trans,cis_minus_trans,cnv_source,corr_with_cnv,pval,pval_adj,dosage_sensitive,dosage_compensated,strong_cis_effect
HLA-DRA,chr6,1.7822127,1.6900479,0.6924799479040553,0.0,-0.15790834107507415,7.533422113358014e-56,0.8503882889791294,chromosome-specific,0.6924799479040553,0.0,0.0,True,False,True
HLA-DRB1,chr6,1.9377675,1.5560848,0.6908236985446591,0.0,-0.1633750167225049,1.0448207997150915e-59,0.854198715267164,chromosome-specific,0.6908236985446591,0.0,0.0,True,False,True
HLA-DPB1,chr6,1.5456208,1.4379535,0.6863403173569226,0.0,-0.17816720051953663,7.72044124274465e-71,0.8645075178764592,chromosome-specific,0.6863403173569226,0.0,0.0,True,False,True
HLA-DPA1,chr6,1.3227363,1.374626,0.6667650667600868,0.0,-0.16852130041987648,1.825836512416655e-63,0.8352863671799633,chromosome-specific,0.6667650667600868,0.0,0.0,True,False,True
HLA-DQB1,chr6,1.0688825,1.2930275,0.6604736178570272,0.0,-0.14889498379478677,8.698381819224939e-50,0.809368601651814,chromosome-specific,0.6604736178570272,0.0,0.0,True,False,True
HLA-DQA1,chr6,0.6650185,1.1205828,0.6482329992954515,0.0,-0.13734797814830596,1.4711771426034216e-42,0.7855809774437574,chromosome-specific,0.6482329992954515,0.0,0.0,True,False,True
HLA-DMA,chr6,0.7241499,1.0322717,0.5965537036454027,0.0,-0.11473598114851849,3.924140903278695e-30,0.7112896847939212,chromosome-specific,0.5965537036454027,0.0,0.0,True,False,True
AIF1,chr6,0.45023704,0.9381915,0.5559831075256694,0.0,-0.1511111420267668,3.041900517454004e-51,0.7070942495524362,chromosome-specific,0.5559831075256694,0.0,0.0,True,False,True
LST1,chr6,0.46460053,0.9529513,0.5090816598987185,0.0,-0.15953488975855218,5.539074544655275e-57,0.6686165496572707,chromosome-specific,0.5090816598987185,0.0,0.0,True,False,True
XAGE2,chrX,0.025226377,0.2112665,0.46885513910987575,0.0,0.46885513910987575,0.0,0.0,global,0.46885513910987575,0.0,0.0,True,False,False
LY6K,chr8,0.022411974,0.18910812,0.44139069712159895,0.0,0.639791014380329,0.0,-0.19840031725873009,chromosome-specific,0.44139069712159895,0.0,0.0,True,False,False
CXCR4,chr2,1.643417,1.6079087,0.42602745751884746,0.0,-0.11083714606465477,3.217308792312082e-28,0.5368646035835022,chromosome-specific,0.42602745751884746,0.0,0.0,True,False,True
SYT7,chr11,0.02224571,0.18515784,0.4211262250066083,0.0,0.6344174772151625,0.0,-0.21329125220855422,chromosome-specific,0.4211262250066083,0.0,0.0,True,False,False
S100A11,chr1,1.6199944,1.2904886,0.41739266242355355,0.0,0.05420797615361206,7.667479767329392e-08,0.3631846862699415,chromosome-specific,0.41739266242355355,0.0,0.0,True,False,True
LY86,chr6,0.12497317,0.4009984,0.41610061760577555,0.0,-0.11157428615538019,1.415105682306427e-28,0.5276749037611558,chromosome-specific,0.41610061760577555,0.0,0.0,True,False,True
CD83,chr6,0.37921143,0.7669221,0.4049730310987294,0.0,-0.12404946074084812,5.634312903411487e-35,0.5290224918395775,chromosome-specific,0.4049730310987294,0.0,0.0,True,False,True
VGLL1,chrX,0.008443728,0.10389762,0.3965186884861488,0.0,0.3965186884861488,0.0,0.0,global,0.3965186884861488,0.0,0.0,True,False,False
